paper_id,title,year,venue,screening_stage,decision,exclusion_reason,screener,date_screened,notes
attack_wifi_sensing,Adversarial Attack on Deep Learning-Based WiFi Sensing,2023,Pending verification,Full text,Included,N/A,SHH,2026-05-24,Primary adversarial attack reference; meets I1 I3 I4
sensefi,SenseFi: A Library and Benchmark on Deep Learning-Enhanced WiFi Human Sensing,2023,Patterns,Full text,Included,N/A,SHH,2026-05-24,Key benchmark; meets I1 I3 I6 I7
antieave_wifi_sensing,AntiEave: Defending Against Eavesdropping WiFi Sensing Attacks,2023,IEEE INFOCOM,Full text,Included,N/A,SHH,2026-05-24,Defense reference; meets I1 I3 I4
wifi_adg,WiFi-ADG: Adversarial Defense Generation for WiFi Sensing,2022,IEEE GLOBECOM,Full text,Included,N/A,SHH,2026-05-24,Adversarial defense generation; meets I1 I3 I4
csigan,CSI-GAN: Generative Adversarial Network for CSI Augmentation,2022,IEEE Access,Full text,Included,N/A,SHH,2026-05-24,GAN augmentation; meets I1 I3 I4
csi_bench,CSI-Bench: A Benchmark for WiFi CSI-Based Sensing,2024,arXiv,Full text,Included,N/A,SHH,2026-05-24,Benchmark; meets I1 I3 I6; confirmed public code
noisec,NoiSec: Exploiting Noise for Adversarial Attacks and Defenses in WiFi Sensing,2023,ACM CCS,Full text,Included,N/A,SHH,2026-05-24,Noise-based defense; confirmed public code; meets I1 I4
infocom_2023_wifi_apnea_attack,Adversarial Attack and Defense for WiFi-Based Apnea Detection System,2023,IEEE INFOCOM 2023 Workshops,Full text,Included,N/A,SHH,2026-05-24,Clinical adversarial attack reference; meets I1 I3 I4; metadata pending
wicam_wicam2,WiCam: Recognizing People Behind Walls Using WiFi,2021,ACM MobiSys,Full text,Included,N/A,SHH,2026-05-24,Adversarial WiFi sensing reference; meets I1 I3 I4
wiintruder,WiIntruder: Detecting Intrusions in WiFi-Based Vital Sensing,2022,IEEE SECON,Full text,Included,N/A,SHH,2026-05-24,Hardening reference; meets I1 I2 I3 I4
mobicom_2024_preamble_perturbation,Preamble Perturbation Attack on WiFi Sensing (ACM MobiCom 2024),2024,ACM MobiCom 2024,Full text,Included,N/A,SHH,2026-05-24,Physical-layer WiFi sensing attack reference; meets I1 I3 I4; all metadata pending
